Item Name,Rarity,Attunement,Cost (gp),Note,Armor Cost,Rare Material,AC Bonus,Save Bonus,Set Score (Modifier),+2 Bonus To Score (Y/N),Weapon Bonus,Spell Level,Unlimited Charges (Y/N),Charges/Day (Unlimit = 7),Charges/Item (Destroyed),Spells Share Charges,"Condition (1Min, Save)",Consumable Damage (Avg),Consumable Save? (Y/N),Semi-Permanent Damage (Avg),Semi-Perm Save? (Y/N),Duration? (Minutes),Permanent Damage (Avg),Perm Save? (Y/N),Specific Situations (Y/N),Restore HP (Avg),Misc. Costs,2 Spell Level,2 Unlimited Charges (Y/N),2 Charges/Day (Unlimit = 7),3 Spell Level,3 Unlimited Charges (Y/N),3 Charges/Day (Unlimit = 7),MatCost,ACCost,SaveCost,SetScore Cost,BonusScore Cost,WeaponCost,Consum Spell Cost,PermCharges Cost,Charges - Destroyed,SpellShare ChargesCost,ConditionCost,ConsDMG Cost,Sm-PrDMG Cost,PerDMG Cost,AVGHP Cost,MiscCost,2 Consum Spell Cost,2 Perm Charges Cost,3 Consum Spell Cost,3 Perm Charges Cost,Source Sheet
"Spell Scroll, 5th",Rare,No,1386,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,630,,0,,,,,,,,,,,,DMG 2024
"Spell Scroll, 6th",Very Rare,No,2772,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,840,,0,,,,,,,,,,,,DMG 2024
"Spell Scroll, 7th",Very Rare,No,3564,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1080,,0,,,,,,,,,,,,DMG 2024
"Spell Scroll, 8th",Very Rare,No,4455,,,,,,,,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1350,,0,,,,,,,,,,,,DMG 2024
"Spell Scroll, 9th",Legendary,No,9075,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1650,,0,,,,,,,,,,,,DMG 2024
Sphere of Annihilation,Legendary,No,46200,based: disintegrate,,,,,,,,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,840,7560,,,,,,,,,,,,,DMG 2024
Spirit Board,Very Rare,No,13167,,,,,,,,,5,N,3,,7,,,,,,,,,,,,,,,,,,,,,,,,630,3150,,210,,,,,,,,,,,DMG 2024
Staff of Adornment,Common,No,330,based: cantrip power,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Staff of Birdcalls,Common,No,330,based: thaumaturgy,,,,,,,,0,N,10,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Staff of Charming,Rare,Yes,7020,"based: on 1st level spell with 10 charges, 1 use per day of 5th level spell",,,,,,,,1,N,10,,3,,,,,,,,,,,,5,N,1,,,,,,,,,,90,810,,90,,,,,,,630,1890,,,DMG 2024
Staff of Fire,Very Rare,Yes,20970,"based: wall of fire x2, protection from energy (plus 1 level, no concentration)",,,,,,,,4,N,2,,8,,,,,,,,,,,,4,Y,,,,,,,,,,,450,1800,,240,,,,,,,450,4050,,,DMG 2024
Staff of Flowers,Common,No,330,based: druidcraft,,,,,,,,0,N,10,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Staff of Frost,Very Rare,Yes,27540,"based: wall of ice x2, protection from energy (plus 1 level, no concentration)",,,,,,,,6,N,2,,16,,,,,,,,,,,,4,Y,,,,,,,,,,,840,3360,,480,,,,,,,450,4050,,,DMG 2024
Staff of Healing,Rare,Yes,6780,based: mass cure wounds x2,,,,,,,,5,N,2,,8,,,,,,,,,,,,,,,,,,,,,,,,630,2520,,240,,,,,,,,,,,DMG 2024
Staff of Power,Very Rare,Yes,39060,based: globe of invulnerability x3,,,2,2,,,2,6,N,3,,36,,,,,,,,,,,,,,,,,,,2700,2700,,,1500,840,4200,,1080,,,,,,,,,,,DMG 2024
Staff of Striking,Very Rare,Yes,9429,,,,,,,,3,,,,,,,,,10,N,0,,,,,,,,,,,,,,,,,3000,,,,,,,142.8,,,,,,,,DMG 2024
Staff of Swarming Insects,Rare,Yes,6840,based: insect plague x2,,,,,,,,5,N,2,,9,,,,,,,,,,,,,,,,,,,,,,,,630,2520,,270,,,,,,,,,,,DMG 2024
Staff of the Adder,Uncommon,Yes,282,,,,,,,,,,,,,,,,,14,Y,1,,,,,,,,,,,,,,,,,,,,,,,,187.6,,,,,,,,DMG 2024
Staff of the Magi,Legendary,Yes,104250,"based: circle of power, 7th-level spell x7 charges; misc: spells that don't take charges to cast",,,,,,,2,5,Y,,,55,,,,,,,,,,,600,7,N,7,,,,,,,,,1500,630,5670,,1650,,,,,,600,1080,9720,,,DMG 2024
Staff of the Python,Uncommon,Yes,4500,based: conjure animals,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Staff of the Woodlands,Rare,Yes,20400,"based: pass without trace, wall of thorns x2, tree form is 1st level appropriate power",,,,,,,2,3,Y,,,20,,,,,,,,,,,,6,N,2,1,Y,,,,,,,1500,300,2700,,600,,,,,,,840,3360,90,810,DMG 2024
Staff of Thunder and Lightning,Very Rare,Yes,12630,"based: lightning bolt (plus 1 level), thunderclap based on 1st level",,,,,,,2,4,N,1,,,Stunned,,,7,N,0,,,,,,1,N,1,,,,,,,,,1500,450,1350,,,450,,99.96,,,,90,270,,,DMG 2024
Staff of Withering,Rare,Yes,12960,based: eyebite (plus 1 level),,,,,,,,7,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,1080,5400,,,,,,,,,,,,,DMG 2024
Stone of Controlling Earth Elementals,Rare,No,7392,"based: conjure elemental (plus 1 level, no cocentration)",,,,,,,,6,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,840,2520,,,,,,,,,,,,,DMG 2024
Stone of Good Luck,Uncommon,Yes,2100,ability bonus = weapon bonus,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,900,,,500,,,,,,,,,,,,,,,DMG 2024
Sun Blade,Rare,Yes,3886,,,,,,,,2,0,Y,,,,,,,,,,4,N,Y,,,,,,,,,,,,,,1500,30,270,,,,,,142.8,,,,,,,DMG 2024
Sword of Answering,Legendary,Yes,30000,based: haste,,,,,,,3,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,3000,300,2700,,,,,,,,,,,,,DMG 2024
Sword of Kas,Artifact,Yes,-,"Artifact, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Sword of Life Stealing,Rare,Yes,857,,,,,,,,,,,,,,,,,,,,10,N,Y,10,,,,,,,,,,,,,,,,,,,,,357,71.4,,,,,,DMG 2024
Sword of Sharpness,Very Rare,Yes,2785,extra damage based on greatsword max minus avg,,,,,,,,0,Y,,,,,,,14,N,0,6,N,N,,,,,,,,,,,,,,,30,270,,,,,199.92,428.4,,,,,,,DMG 2024
Sword of Vengeance,Uncommon,Yes,750,"Cursed, not priced",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,DMG 2024
Sword of Wounding,Rare,Yes,1715,treat bleeding comparable to poison; misc: difficult healing,,,,,,,,,,,,,Poisoned,,,,,,2,Y,N,,300,,,,,,,,,,,,,,,,,450,,,107.2,,300,,,,,DMG 2024
Sylvan Talon,Common,Yes,420,"based: comprehend language (minus 1 level for limited), message",,,,,,,,0,Y,,,,,,,,,,,,,,,0,N,1,,,,,,,,,,30,270,,,,,,,,,30,90,,,DMG 2024
Talisman of Pure Good,Legendary,Yes,65250,fissure equal to 9th level spell,,,,,,,2,9,,,7,,,,,,,,,,,,,,,,,,,,,,,,1500,1650,,9900,,,,,,,,,,,,DMG 2024
Talisman of the Sphere,Legendary,Yes,15000,based: enhance ability (plus 1 level),,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Talisman of Ultimate Evil,Legendary,Yes,57000,fissure equal to 9th level spell,,,,,,,2,9,,,6,,,,,,,,,,,,,,,,,,,,,,,,1500,1650,,8250,,,,,,,,,,,,DMG 2024
Talking Doll,Common,Yes,900,based: magic mouth (minus 1 level),,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Tankard of Sobriety,Common,No,330,based: prestidigitation,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Tentacle Rod,Rare,Yes,3228,,,,,,,,,,,,,,Exhaustion,,,,,,10,N,N,,,,,,,,,,,,,,,,,,,900,,,714,,,,,,,DMG 2024
Thunderous Greatclub,Very Rare,Yes,42257,based: earthquake (minus 1 level due to 1 round duration),,,,,5,,,7,N,1,,,Prone,,,,,,4,N,N,,,,,,,,,,,,9450,,,1080,3240,,,30,,,285.6,,,,,,,DMG 2024
Tome of Clear Thought,Very Rare,No,43659,"due to max increase, uses set score",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13230,,,,,,,,,,,,,,,,,DMG 2024
Tome of Leadership and Influence,Very Rare,No,43659,"due to max increase, uses set score",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13230,,,,,,,,,,,,,,,,,DMG 2024
Tome of the Stilled Tongue,Legendary,Yes,33000,treat as 9th level for bonus action casting,,,,,,,,9,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,1650,4950,,,,,,,,,,,,,DMG 2024
Tome of Understanding,Very Rare,No,43659,"due to max increase, uses set score",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13230,,,,,,,,,,,,,,,,,DMG 2024
Trident of Fish Command,Uncommon,Yes,4050,based: dominate beast,,,,,,,,4,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,450,2250,,,,,,,,,,,,,DMG 2024
Universal Solvent,Legendary,No,4620,based: disintegrate,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,840,,0,,,,,,,,,,,,DMG 2024
Veteran's Cane,Common,No,99,based: disguise self,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,DMG 2024
Vicious Weapon,Rare,No,1760,"cantrip for magic weapon, add cost for weapon",,,,,,,,0,Y,,,,,,,,,,7,N,N,,,,,,,,,,,,,,,30,270,,,,,,499.8,,,,,,,DMG 2024
Vorpal Sword,Legendary,Yes,51855,"based: protection from energy (plus 2 levels, no concentration, ignore resist)",,,,,,,3,5,Y,,,,,,,,,,30,N,Y,,,,,,,,,,,,,,3000,630,5670,,,,,,1071,,,,,,,DMG 2024
Walloping Ammunition,Common,No,33,,,,,,,,,,,,,,Prone,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,DMG 2024
Wand of Binding,Rare,Yes,9300,"based: hold monster x1, hold person x1, freedom of movement (minus 1 level)",,,,,,,,5,N,1,,7,,,,,,,,,,,,2,N,1,3,N,1,,,,,,,630,1890,,210,,,,,,,180,540,300,900,DMG 2024
Wand of Conducting,Common,No,198,based: thaumaturgy,,,,,,,,0,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,30,150,,,,,,,,,,,,,DMG 2024
Wand of Enemy Detection,Rare,Yes,9000,based: locate creature,,,,,,,,4,N,7,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Wand of Fear,Rare,Yes,4320,"based: fear x3, command x1",,,,,,,,3,N,3,,,,,,,,,,,,,,1,N,1,,,,,,,,,,300,1500,,,,,,,,,90,270,,,DMG 2024
Wand of Fireballs,Rare,Yes,6000,based: fireball x7,,,,,,,,3,N,7,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Wand of Lightning Bolts,Rare,Yes,6000,based: lightning bolts x7,,,,,,,,3,N,7,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Wand of Magic Detection,Uncommon,No,891,based: detect magic x3,,,,,,,,1,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,90,450,,,,,,,,,,,,,DMG 2024
Wand of Magic Missiles,Uncommon,No,1485,based: magic missile x7,,,,,,,,1,N,7,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Wand of Orcus,Artifact,Yes,-,"Artifact, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Wand of Paralysis,Rare,Yes,16800,"based: hold monster (plus 1 level, no concentration) x7",,,,,,,,6,N,7,,,,,,,,,,,,,,,,,,,,,,,,,,840,7560,,,,,,,,,,,,,DMG 2024
Wand of Polymorph,Very Rare,Yes,13500,based: polymorph x7,,,,,,,,4,N,7,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Wand of Pyrotechnics,Common,No,198,based: light,,,,,,,,0,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,30,150,,,,,,,,,,,,,DMG 2024
Wand of Secrets,Uncommon,No,1782,based: find traps x3,,,,,,,,2,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,180,900,,,,,,,,,,,,,DMG 2024
"Wand of War Mage, +1",Uncommon,Yes,900,misc: 100 for ignore cover,,,,,,,1,,,,,,,,,,,,,,,,100,,,,,,,,,,,,500,,,,,,,,,,100,,,,,DMG 2024
"Wand of War Mage, +2",Rare,Yes,3200,misc: 100 for ignore cover,,,,,,,2,,,,,,,,,,,,,,,,100,,,,,,,,,,,,1500,,,,,,,,,,100,,,,,DMG 2024
"Wand of War Mage, +3",Very Rare,Yes,9300,misc: 100 for ignore cover,,,,,,,3,,,,,,,,,,,,,,,,100,,,,,,,,,,,,3000,,,,,,,,,,100,,,,,DMG 2024
Wand of Web,Uncommon,Yes,2700,based: web x7,,,,,,,,2,N,7,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Wand of Wonder,Rare,Yes,20400,based: 6th level spell x7 charges,,,,,,,,6,N,7,,60,,,,,,,,,,,,,,,,,,,,,,,,840,7560,,1800,,,,,,,,,,,DMG 2024
Wave,Artifact,Yes,-,"Artifact, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
"Weapon, +1",Uncommon,No,825,add cost of weapon,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,DMG 2024
"Weapon, +2",Rare,No,3300,add cost of weapon,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,DMG 2024
"Weapon, +3",Very Rare,No,9900,add cost of weapon,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,DMG 2024
"Shortsword, +1",Uncommon,No,842,,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,10,,,,,500,,,,,,,,,,,,,,,DMG 2024
Weapon of Warning,Uncommon,Yes,4500,"based: Alarm, Enhance Ability; cantrip for magic weapon",,,,,,,,0,Y,,,,,,,,,,,,,,,1,Y,,2,Y,,,,,,,,30,270,,,,,,,,,90,810,180,1620,DMG 2024
Well of Many Worlds,Legendary,No,47520,based: planeshift x5,,,,,,,,7,N,5,,,,,,,,,,,,,,,,,,,,,,,,,,1080,7560,,,,,,,,,,,,,DMG 2024
Whelm,Artifact,Yes,-,"Artifact, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Wind Fan,Uncommon,No,1188,based: gust of wind,,,,,,,,2,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,180,540,,,,,,,,,,,,,DMG 2024
Winged Boots,Uncommon,Yes,4725,"based: fly (plus 1 level, no concentration)",,,,,,,,4,N,4,,,,,,,,,,,,,,,,,,,,,,,,,,450,2700,,,,,,,,,,,,,DMG 2024
Wings of Flying,Rare,Yes,6300,"based: fly (plus 1 level, no concentration) x4",,,,,,,,4,N,4,,,,,,,,,,,,,,,,,,,,,,,,,,450,2700,,,,,,,,,,,,,DMG 2024
"Wraps of Unarmed Power, +1",Uncommon,No,1320,added cantrip for Force damage,,,,,,,1,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,500,30,270,,,,,,,,,,,,,DMG 2024
"Wraps of Unarmed Power, +2",Rare,No,3960,added cantrip for Force damage,,,,,,,2,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,1500,30,270,,,,,,,,,,,,,DMG 2024
"Wraps of Unarmed Power, +3",Very Rare,No,10890,added cantrip for Force damage,,,,,,,3,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,3000,30,270,,,,,,,,,,,,,DMG 2024
Bead of Nourishment,Common,No,99,based: goodberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGTE
Bead of Refreshment,Common,No,99,based: create or destroy water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGTE
Unbreakable Arrow,Common,No,330,based: mending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGTE
Wand of Scowls,Common,No,198,based: minor illusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGTE
Wand of Smiles,Common,No,198,based: minor illusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGTE
Absorbing Tattoo,Very Rare,Yes,14580,"based: protection from energy (plus 1 level, no concentration), immunity is based on absorb elements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Alchemical Compendium,Rare,Yes,6680,"Alchemy is treated as Fabricate spell (x3), Treat swap spells as Lv3 added to extra spells, extra spells are treated as if it were a staff, Misc Cost: 10 gp for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"All-Purpose Tool, +1",Uncommon,Yes,2580,"Spell Save DC = AC bonus, spell attack = weapon bonus, Misc Cost: avg price for various tools/supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"All-Purpose Tool, +2",Rare,Yes,9040,"Spell Save DC = AC bonus, spell attack = weapon bonus, Misc Cost: avg price for various tools/supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"All-Purpose Tool, +3",Very Rare,Yes,26160,"Spell Save DC = AC bonus, spell attack = weapon bonus, Misc Cost: avg price for various tools/supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Amulet of the Devout, +1",Uncommon,Yes,2640,"Spell Save DC = AC bonus, spell attack = weapon bonus, Channel Divinty treated as extra Lv1 spell slot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Amulet of the Devout, +2",Rare,Yes,9120,"Spell Save DC = AC bonus, spell attack = weapon bonus, Channel Divinty treated as extra Lv1 spell slot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Amulet of the Devout, +3",Very Rare,Yes,26280,"Spell Save DC = AC bonus, spell attack = weapon bonus, Channel Divinty treated as extra Lv1 spell slot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Arcane Grimoire, +1",Uncommon,Yes,2640,"Spell Save DC = AC bonus, spell attack = weapon bonus, Extra Arcane Recovery treated as extra Lv1 spell slot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Arcane Grimoire, +2",Rare,Yes,9120,"Spell Save DC = AC bonus, spell attack = weapon bonus, Extra Arcane Recovery treated as extra Lv1 spell slot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Arcane Grimoire, +3",Very Rare,Yes,26280,"Spell Save DC = AC bonus, spell attack = weapon bonus, Extra Arcane Recovery treated as extra Lv1 spell slot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Astral Shard,Rare,Yes,6020,"At-will Misty Step (plus 1 level for no action economy), Misc cost of focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Astromancy Archive,Rare,Yes,5360,"Treat swap spells as Lv3 (x3), reaction treated as Lv2 spell and add to extra spells, extra spells are treated as if it were a staff, Misc Cost: 10 gp for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Atlas of Endless Horizons,Rare,Yes,6080,"Treat swap spells as Lv3 (x3), reaction treated as Lv2 spell added to extra spells, extra spells are treated as if it were a staff, Misc Cost: 10 gp for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Barrier Tattoo, AC12+Dex",Uncommon,Yes,1350,based: mage armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Barrier Tattoo, AC15+Dex2",Rare,Yes,3600,based: barkskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Barrier Tattoo, AC18",Very Rare,Yes,9000,based: Lv3 spell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Bell Branch,Rare,Yes,1160,"based: protection spell (x3), detect evil & good, misc cost of focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Blood Fury Tattoo,Legendary,Yes,27000,"treat reaction as hellish rebuke spell, necrotic damage as vampiric touch (+1 level)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Bloodwell Vial, +1",Uncommon,Yes,3900,"Spell Save DC = AC bonus, spell attack = weapon bonus, extra spell points = Lv3 spell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Bloodwell Vial, +2",Rare,Yes,10800,"Spell Save DC = AC bonus, spell attack = weapon bonus, extra spell points = Lv3 spell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Bloodwell Vial, +3",Very Rare,Yes,28800,"Spell Save DC = AC bonus, spell attack = weapon bonus, extra spell points = Lv3 spell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Coiling Grasp Tattoo,Uncommon,Yes,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Crystalline Chronicle,Very Rare,Yes,10290,"Treat swap spells as Lv3 (x3), subtlecast as Lv3 spell added to extra spells, extra spells are treated as if it were a staff, Misc Cost: 10 gp for focus + 300 for at-will cantrip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Devotee's Censer,Rare,Yes,1734,"Treat heal as Avg2 * 4 creatures * 10 rounds, Misc cost is focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Duplicitious Manuscript,Rare,Yes,4820,"Treat swap spells as Lv3 (x3), reaction as Lv1 (silvery barbs inspiration) added to extra spells, extra spells are treated as if it were a staff, Misc Cost: 10 gp for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Eldritch Claw Tattoo,Uncommon,Yes,1371,treat extended reach as Lv1 spell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Elemental Essence Shard, Air",Rare,Yes,3620,"treat as 'unlimited' fly spell (-1 lv due to limited effect), Misc cost for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Elemental Essence Shard, Earth",Rare,Yes,6020,"treat as 'unlimited' protection from elements (-1 lv due to limited effect), Misc cost for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Elemental Essence Shard, Fire",Rare,Yes,806,Misc cost for focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Elemental Essence Shard, Water",Rare,Yes,1581,"AoE damage multiplied by 4 due to size of effect, Misc cost for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Far Realm Shard,Rare,Yes,736,Misc cost for focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Feywild Shard,Uncommon,Yes,4515,"wild magic treated as Lv3 spell, Misc cost for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Fulminating Treatise,Rare,Yes,5190,"Treat swap spells as Lv3 (x3), extra spells are treated as if it were a staff, Misc Cost: 10 gp for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Ghost Step Tattoo,Very Rare,Yes,3240,based: blink (-1 lv spell due to short duration and effect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Guardian Emblem,Uncommon,Yes,825,"based: shield spell, Misc cost for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Heart Weaver's Primer,Rare,Yes,5240,"Treat swap spells as Lv3 (x3), reaction as Lv1 (silvery barbs inspiration) added to extra spells, extra spells are treated as if it were a staff, Misc Cost: 10 gp for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Illuminator's Tattoo,Common,Yes,660,"based: illusory script x1/day, writing with finger as cantrip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Libram of Souls and Flesh,Rare,Yes,5240,"Treat swap spells as Lv3 (x3), treat indifferent undead as Lv1 spell and added to extra spells, extra spells are treated as if it were a staff, Misc Cost: 10 gp for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Lifewell Tattoo,Very Rare,Yes,18900,"based: protection from energy (plus 1 level, no concentration) and death ward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Lyre of Building,Rare,Yes,23160,"based: mending, reaction as shield (plus 1 level), and misc cost includes extra 1/day spells you can cast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Masquerade Tattoo,Common,Yes,660,"based: fluid ink as cantrip, disguise self 1/day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Moon Sickle, +1",Uncommon,Yes,4815,"Spell Save DC = AC bonus, treat extra d4 healing as unlimited healing word, misc cost includes focus & spell attack bonus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
